UniqueID,Probability1
11862,0.16
11863,0.192
11864,0.174
11865,0.942
11866,0.144
11867,0.13
11868,0.388
11869,0.088
11870,0.126
11871,0.936
11872,0.25
11873,0.306
11874,0.286
11875,0.866
11876,0.196
11877,0.538
11878,0.572
11879,0.268
11880,0.218
11881,0.61
11882,0.074
11883,0.06
11884,0.222
11885,0.144
11886,0.028
11887,0.4
11888,0.096
11889,0.106
11890,0.074
11891,0.872
11892,0.19
11893,0.602
11894,0.294
11895,0.154
11896,0.146
11897,0.188
11898,0.186
11899,0.228
11900,0.09
11901,0.546
11902,0.596
11903,0.08
11904,0.202
11905,0.092
11906,0.96
11907,0.118
11908,0.282
11909,0.098
11910,0.062
11911,0.086
11912,0.048
11913,0.996
11914,0.372
11915,0.262
11916,0.078
11917,0.192
11918,0.738
11919,0.102
11920,0.116
11921,0.056
11922,0.944
11923,0.924
11924,0.5
11925,0.984
11926,0.396
11927,0.936
11928,0.308
11929,0.118
11930,1
11931,0.35
11932,0.064
11933,0.788
11934,0.232
11935,0.176
11936,0.158
11937,0.996
11938,0.54
11939,0.116
11940,0.72
11941,0.524
11942,0.818
11943,0.002
11944,0.684
11945,0.982
11946,0.942
11947,0.844
11948,0.134
11949,0.98
11950,0.718
11951,0.212
11952,0.272
11953,0.862
11954,0.252
11955,0.976
11956,1
11957,0.462
11958,0.068
11959,0.832
11960,0.802
11961,0.81
11962,0.112
11963,0.064
11964,0.122
11965,0.212
11966,0.838
11967,0.99
11968,0.872
11969,0.632
11970,0.906
11971,0.622
11972,0.954
11973,0.976
11974,0.918
11975,0.828
11976,0.522
11977,0.802
11978,0.386
11979,0.992
11980,0.796
11981,0.892
11982,0.87
11983,0.992
11984,0.916
11985,1
11986,0.422
11987,0.964
11988,0.082
11989,0.974
11990,0.944
11991,0.99
11992,0.666
11993,0.722
11994,0.162
11995,0.398
11996,0.812
11997,0.388
11998,0.148
11999,0.344
12000,0.99
12001,0.8
12002,0.972
12003,0.878
12004,0.866
12005,0.99
12006,0.856
12007,0.988
12008,0.342
12009,0.668
12010,0.912
12011,0.988
12012,0.354
12013,0.102
12014,0.682
12015,0.8
12016,0.464
12017,0.992
12018,0.998
12019,0.978
12020,0.948
12021,0.998
12022,0.986
12023,0.954
12024,0.196
12025,0.832
12026,0.992
12027,0.962
12028,0.362
12029,0.608
12030,0.998
12031,0.672
12032,0.742
12033,0.406
12034,0.844
12035,0.042
12036,0.23
12037,0.468
12038,0.2
12039,0.656
12040,0.102
12041,0.606
12042,0.592
12043,0.1
12044,0.644
12045,0.45
12046,0.718
12047,0.058
12048,0.956
12049,0.978
12050,0.104
12051,0.85
12052,0.102
12053,0.708
12054,0.102
12055,0.988
12056,0.906
12057,0.248
12058,0.728
12059,0.808
12060,0.302
12061,0.974
12062,0.98
12063,0.77
12064,0.79
12065,0.932
12066,0.658
12067,0.92
12068,0.92
12069,0.106
12070,0.054
12071,0.414
12072,0.954
12073,0.634
12074,0.506
12075,0.464
12076,0.982
12077,0.146
12078,0.328
12079,0.812
12080,0.592
12081,0.808
12082,0.976
12083,0.908
12084,0.89
12085,0.04
12086,0.414
12087,0.848
12088,0.02
12089,0.562
12090,0.916
12091,0.908
12092,0.408
12093,0.604
12094,0.972
12095,0.29
12096,0.464
12097,0.81
12098,0.462
12099,0.426
12100,0.032
12101,0.328
12102,0.786
12103,0.128
12104,0.042
12105,0.98
12106,0.224
12107,0.996
12108,0.432
12109,0.394
12110,0.138
12111,0.8
12112,0.46
12113,0.842
12114,1
12115,0.358
12116,0.996
12117,0.4
12118,0.996
12119,0.07
12120,0.274
12121,0.846
12122,0.676
12123,0.992
12124,0.862
12125,0.982
12126,0.974
12127,0.788
12128,0.12
12129,0.904
12130,0.876
12131,0.206
12132,0.47
12133,0.312
12134,0.954
12135,0.13
12136,0.88
12137,0.496
12138,0.72
12139,0.874
12140,0.556
12141,0.488
12142,0.07
12143,0.112
12144,0.064
12145,0.924
12146,0.91
12147,0.86
12148,0.15
12149,0.858
12150,0.196
12151,0.92
12152,0.978
12153,0.256
12154,0.39
12155,0.46
12156,0.74
12157,0.896
12158,0.296
12159,0.202
12160,0.878
12161,0.996
12162,0.838
12163,0.544
12164,0.344
12165,0.296
12166,0.98
12167,0.512
12168,0.928
12169,0.822
12170,0.324
12171,0.036
12172,0.978
12173,0.836
12174,0.646
12175,0.252
12176,0.516
12177,0.918
12178,0.194
12179,0.132
12180,0.544
12181,0.746
12182,0.812
12183,0.77
12184,0.344
12185,0.616
12186,0.634
12187,0.71
12188,0.54
12189,0.652
12190,0.974
12191,0.69
12192,0.536
12193,0.066
12194,0.352
12195,0.198
12196,0.972
12197,0.226
12198,0.268
12199,0.71
12200,0.668
12201,0.972
12202,0.06
12203,0.606
12204,0.542
12205,0.896
12206,0.758
12207,0.238
12208,0.868
12209,0.572
12210,0.076
12211,0.11
12212,0.442
12213,0.978
12214,0.808
12215,0.894
12216,0.004
12217,0.53
12218,0.106
12219,0.354
12220,0.112
12221,0.714
12222,0.214
12223,0.226
12224,0.526
12225,0.094
12226,0.484
12227,0.924
12228,0.818
12229,0.98
12230,0.714
12231,0.848
12232,0.862
12233,0.826
12234,0.99
12235,0.114
12236,0.59
12237,0.824
12238,0.042
12239,0.582
12240,0.98
12241,0.396
12242,0.086
12243,0.092
12244,0.922
12245,0.968
12246,0.326
12247,0.102
12248,0.9
12249,0.62
12250,0.136
12251,0.278
12252,0.238
12253,0.31
12254,0.83
12255,0.112
12256,0.23
12257,0.602
12258,0.104
12259,0.086
12260,0.854
12261,0.56
12262,0.006
12263,0.94
12264,0.968
12265,0.964
12266,0.026
12267,0.126
12268,0.57
12269,0.066
12270,0.584
12271,0.928
12272,0.608
12273,0.414
12274,0.438
12275,0.684
12276,0.224
12277,0.226
12278,0.672
12279,0.108
12280,0.584
12281,0.174
12282,0.112
12283,0.444
12284,0.138
12285,0.426
12286,0.316
12287,0.32
12288,0.224
12289,0.462
12290,0.282
12291,0.62
12292,0.096
12293,0.182
12294,0.076
12295,0.308
12296,0.084
12297,0.74
12298,0.2
12299,0.35
12300,0.026
12301,0.118
12302,0.164
12303,0.458
12304,0.23
12305,0.896
12306,0.096
12307,0.104
12308,0.842
12309,0.32
12310,0.984
12311,0.088
12312,0.178
12313,0.01
12314,0.024
12315,0.228
12316,0.294
12317,0.086
12318,0.294
12319,0.018
12320,0.054
12321,0.152
12322,0.992
12323,0.128
12324,0.894
12325,0.184
12326,0.108
12327,0.346
12328,0.026
12329,0.184
12330,0.034
12331,0.614
12332,0.988
12333,0.038
12334,0.058
12335,0.118
12336,0.142
12337,0.128
12338,0.026
12339,0.538
12340,0.852
12341,0.3
12342,0.072
12343,0.022
12344,0.556
12345,0.27
12346,0.718
12347,0.084
12348,0.84
12349,0.068
12350,0.23
12351,0.01
12352,0.654
12353,0.946
12354,0.906
12355,0.38
12356,0.268
12357,0.464
12358,0.064
